dataset_id,dataset_name,dataset_name_,test_accuracy
0,Adiac,alstmfcn_8_cells_weights/Adiac,0.056266
1,ArrowHead,alstmfcn_8_cells_weights/ArrowHead,0.605714
0,Adiac,alstmfcn_8_cells_weights/Adiac,0.043478
1,ArrowHead,alstmfcn_8_cells_weights/ArrowHead,0.622857
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.660714
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.663265
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.639386
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.642857
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.654731
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.625000
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.693095
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.668367
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.667519
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.645408
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.657289
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.650510
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.579082
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.637755
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.657289
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.650510
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.636829
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.670918
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.595908
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.678571
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.665816
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.618926
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.617347
1,cairo_9999_1,alstmfcn_8_cells_weights/cairo_9999_1,0.647059
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.632653
21,milan_9999_0,alstmfcn_8_cells_weights/milan_9999_0,0.521127
42,kyoto7_9999_0,alstmfcn_8_cells_weights/kyoto7_9999_0,0.519337
63,kyoto8_9999_0,alstmfcn_8_cells_weights/kyoto8_9999_0,0.559541
85,kyoto11_9999_0,alstmfcn_8_cells_weights/kyoto11_9999_0,0.430076
0,cairo_9999_0,alstmfcn_8_cells_weights/cairo_9999_0,0.635204
21,milan_9999_0,alstmfcn_8_cells_weights/milan_9999_0,0.471460
42,kyoto7_9999_0,alstmfcn_8_cells_weights/kyoto7_9999_0,0.535912
63,kyoto8_9999_0,alstmfcn_8_cells_weights/kyoto8_9999_0,0.542324
85,kyoto11_9999_0,alstmfcn_8_cells_weights/kyoto11_9999_0,0.447045
